ticker,entry_time,exit_time,entry_price,exit_price,size_shares,pnl_gbp,pnl_pct,exit_reason
AMZN,2026-07-07 19:38:30 UTC,2026-07-08 15:07:37 UTC,245.54,241.35,8.1451,-34.17,-1.71,STOP_LOSS_HIT
VOD.L,2026-07-08 15:07:37 UTC,2026-07-08 16:54:48 UTC,98.16,97.98,20.0268,-3.60,-0.18,Price dropped below EMA20
GOOGL,2026-07-08 20:00:08 UTC,2026-07-09 15:51:26 UTC,361.95,352.42,5.4213,-51.64,-2.63,STOP_LOSS_HIT
VOD.L,2026-07-09 15:51:26 UTC,2026-07-14 16:07:46 UTC,97.76,116.75,19.5437,371.13,19.43,Price dropped below EMA20
VOD.L,2026-07-20 16:50:39 UTC,2026-07-23 14:59:50 UTC,115.20,116.65,19.8066,28.72,1.26,Price dropped below EMA20
VOD.L,2026-07-27 17:28:14 UTC,2026-07-29 15:03:36 UTC,120.15,121.80,19.2297,31.73,1.37,Price dropped below EMA20
VOD.L,2026-07-31 15:12:23 UTC,2026-08-03 15:35:58 UTC,117.35,117.80,19.9589,8.98,0.38,Price dropped below EMA20
VOD.L,2026-08-07 15:14:33 UTC,2026-08-10 14:11:35 UTC,120.25,117.10,19.5522,-61.59,-2.62,STOP_LOSS_HIT
VOD.L,2026-08-11 15:26:55 UTC,2026-08-17 13:31:27 UTC,117.85,120.10,19.4278,43.71,1.91,Price dropped below EMA20
VOD.L,2026-08-19 14:21:40 UTC,2026-08-19 14:59:02 UTC,119.30,119.28,19.5581,-0.34,-0.01,Price dropped below EMA20
VOD.L,2026-08-19 15:29:04 UTC,2026-08-20 13:37:20 UTC,119.60,118.25,19.5061,-26.33,-1.13,Price dropped below EMA20
VOD.L,2026-08-20 14:24:01 UTC,2026-08-20 15:01:09 UTC,118.50,118.30,19.4650,-3.89,-0.17,Price dropped below EMA20
VOD.L,2026-08-24 14:30:31 UTC,2026-08-26 13:43:53 UTC,116.75,117.35,19.7226,11.73,0.51,Price dropped below EMA20
